	CNV	Protien	slope	intercept	rValue	pValue	stdErr
9397	PRY	LONP1	-0.30485947455619156	-0.0760372045198545	-0.2306151874100813	0.022338120847618943	0.1312831882982158
9398	PRY	LONP2	-0.6808575374653502	-0.04437355889774511	-0.3070286091361208	0.002104576978425576	0.21539815920790822
9399	PRY	LPP	0.3640784869255964	-0.09080633587657151	0.22166071818049626	0.028268584345551618	0.16346713255029163
9400	PRY	LRCH2	-0.2919356302741514	-0.06478950208486686	-0.21829691054961292	0.030817811711390693	0.13319912836632686
9401	PRY	LRPPRC	-0.4414979363745235	-0.10129594207042303	-0.28150197215629147	0.004985128909976391	0.15359746542768044
9402	PRY	LRRC41	-0.3521063290373547	-0.06594540806024547	-0.22992439041035784	0.022754248563777463	0.15211045394357167
9403	PRY	LRRFIP1	0.3477590271974712	-0.11126662544746477	0.25106736789270584	0.012644454224115382	0.1368403736238273
9404	PRY	LUZP1	0.35246360015795275	-0.06621934947012387	0.21281199910201049	0.03539027857440518	0.16516518961997145
9405	PRY	LYN	0.2665146346680876	-0.06766280230289967	0.23730728069499107	0.018632920265890217	0.11134942198159607
9406	PRY	LZIC	-0.3449961657525716	-0.07133551242034224	-0.21355405391400345	0.03474016958702921	0.16107748256828666
9407	PRY	MACO1	-0.5933687567256011	-0.08293272752664432	-0.2384302685554901	0.018066113350532074	0.24667110945076268
9408	PRY	MAGED1	-0.43296732947870825	-0.0475771123873345	-0.31110552489627574	0.0018206249209294096	0.13499166724970743
9409	PRY	MAGED4	-0.36687005309854226	-0.06098475486911316	-0.29302359392685984	0.003410100675746563	0.12217426650412709
9410	PRY	MAN1A2	-0.6483811870352172	-0.05583896367665436	-0.3051434219205924	0.0022489196306012898	0.20652255178701776
9411	PRY	MAP1S	0.6271468366749521	-0.05092708870543365	0.25514978026221397	0.011226728353150113	0.2425608317524903
9412	PRY	MAP4K4	0.40392922210030957	-0.07007041494974335	0.20804743906271866	0.039812360451691106	0.19382012113377298
9413	PRY	MARVELD1	0.2305789697784082	-0.0907255898629473	0.24371926559831938	0.015592052664315398	0.09364765711319675
9414	PRY	MCUR1	-0.35710647323845823	-0.08708085209640926	-0.20887498692981002	0.0390127604092234	0.17064317544568636
9415	PRY	MDH2	-0.31031493811279515	-0.08634962249144731	-0.2537850630677664	0.011684372802474037	0.12071035392373813
9416	PRY	METTL1	-0.27521897552474667	-0.061913246840337124	-0.20330151214504216	0.044666718500583964	0.1352808664381098
9417	PRY	MGMT	0.3332770423606508	-0.060466485808103654	0.3158016928582137	0.0015368061607218208	0.10219779986766842
9418	PRY	MID1	-0.3621257113319902	-0.04877391155393026	-0.25728483023986554	0.010542174441852516	0.13881536815375853
9419	PRY	MIEF1	-0.449406858133956	-0.09896395756403792	-0.21250503658979505	0.03566217807906405	0.21091162580949216
9420	PRY	MLF1	0.3255519910024804	-0.06847921419737828	0.2933057598184086	0.0033778797486675376	0.10830051687879143
9421	PRY	MMGT1	-0.5162170723103596	-0.07819157700482897	-0.2939919188102232	0.0033006617872231854	0.17128998535843137
9422	PRY	MMS19	0.4821255582452902	-0.062169238751161204	0.22958635906340857	0.022960278639206105	0.20860271550433035
9423	PRY	MOBP	0.10504201825546661	-0.06909568230695455	0.20904074470516198	0.03885422527375969	0.05015266573194741
9424	PRY	MRPL12	-0.3318424361127319	-0.08716851243998187	-0.23976266860889586	0.0174129439688332	0.13713825404173613
9425	PRY	MRPL42	-0.2909114274184128	-0.07680288524486183	-0.21618992611087237	0.03251148602249298	0.13408982779271658
9426	PRY	MSMO1	-0.21196479831682308	-0.08871227274396103	-0.21553490730639363	0.03305374438940567	0.09801240316461546
9427	PRY	MSR1	0.1395658369546611	-0.1059985457650752	0.2005976104098649	0.047645597207501666	0.06956634895825714
9428	PRY	MTR	0.28151494152250506	-0.0786763637236324	0.20831961409918687	0.039547880207014975	0.1348967624170675
9429	PRY	MTRR	0.3868366036797932	-0.0795394799817783	0.19907281820085648	0.04939671697379409	0.19435659235736544
9430	PRY	MYO6	-0.3562449343075553	-0.08766671234964706	-0.2088569272724644	0.03903006576730468	0.17024688066009674
9431	PRY	NAP1L5	-0.26693365041691497	-0.09542345289502444	-0.24291694867893554	0.015947347958151375	0.10879343992919388
9432	PRY	NBDY	-0.5193041707937421	-0.06518817722092482	-0.26807054334586494	0.007613485849841295	0.19047738472282957
9433	PRY	NBEAL1	0.3971866255633826	-0.08416406284136368	0.22592130765490934	0.025298436329179646	0.17479365340428973
9434	PRY	NCKAP1L	0.1928420331335727	-0.11454017397766111	0.22230496094300964	0.027801335342107044	0.0863199901451975
9435	PRY	NDC1	-0.47576703929761016	-0.06518017164831866	-0.21734874086577322	0.03157052778669128	0.21806866038705072
9436	PRY	NDRG1	0.16686794178887598	-0.06532213045079666	0.24104092731798846	0.01680557305184813	0.06857230272049962
9437	PRY	NDUFAF6	-0.29095465438010465	-0.08038289014250734	-0.23327057918473368	0.020798622542422564	0.12378840708790748
9438	PRY	NEDD9	-0.21926962833653268	-0.06457705878244983	-0.20957015264344647	0.03835148891577369	0.10441445612787512
9439	PRY	NEK7	0.3748208414726223	-0.09447451083116035	0.2659711537058618	0.008119578140660189	0.13865069356645499
9440	PRY	NELFE	-0.38036919905026667	-0.055527346105280026	-0.24310897799754835	0.0158616786435216	0.15489592994364412
9441	PRY	NFATC2	0.2672020244757425	-0.09483804222399783	0.2233353565934511	0.027067650637736005	0.11902444819564242
9442	PRY	NFKB2	0.40031122451787	-0.10786534799492542	0.2899864237736132	0.00377476099410186	0.13483740363430016
9443	PRY	NFKBIE	0.4453866039192768	-0.10897399171276623	0.2333501432699275	0.020753935189013265	0.1894240796266608
9444	PRY	NKRF	-0.5268171189825082	-0.06974206036532007	-0.27552462179908854	0.006034128635426558	0.18759449329409586
9445	PRY	NME3	0.4806676636098547	-0.05555381409957089	0.33266898825647945	0.0008173203172166892	0.13906850056414014
9446	PRY	NMRK1	0.2979303805978332	-0.05486178395850097	0.21846053311035782	0.0306894646246752	0.1358273964614483
9447	PRY	NPL	0.1361610246787357	-0.11443539709788322	0.19973687382620675	0.04862766990878749	0.06817393354797856
9448	PRY	NR2F1	-0.16252825730503292	-0.07804465347834758	-0.2006990720767242	0.04753092162971402	0.0809692550677418
